PROGRAMME_TYPE_CODE;PROGRAMME_TYPE_NAME;
A2;Diploma Accademico di Secondo Livello;
A1;Diploma Accademico di Primo Livello;
M2;Master di Secondo Livello;
M1;Master di Primo Livello;
